Tue Oct 10 10:28:08 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, MIN_WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, MAX_WIDTH,    WID,    WID OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, PERPEND_DIST,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, 3_D_DIST,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, RADIUS,    RAD,    RAD OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, ROUNDNESS,    RND,    RND OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, SPHERE_DIA,    DIA,    DIA OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, SPHERE_RADIUS,    RAD,    RAD OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, STRAIGHT_LINE,    DIS,    DIS OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, STRAIGHTNESS,    STR,    STR OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, SUP_ANGLE,    ANG,    ANG OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, X_DISTANCE,     XD,     XD OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, Y_DISTANCE,     YD,     YD OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, Z_DISTANCE,     ZD,     ZD OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, CONCENTRICITY,    CON,    CON OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, CL_ANGLE,    WCA,    WCA OGPuiConfigureOutputTags1Page
Wed Oct 18 16:18:49 2017 EVMX Configuration.ini, MINIMUM,    MIN,    MIN OGPuiConfigureOutputTags2Page
